Level,White,Blue,Green,Red,Black,Value,Color
I,,3,,,,,White
I,,,,2,1,,White
I,,1,1,1,1,,White
I,,2,,,2,,White
I,,,4,,,1,White
I,,1,2,1,1,,White
I,,2,2,,1,,White
I,3,1,,,1,,White
I,1,,,,2,,Blue
I,,,,,3,,Blue
I,1,,1,1,1,,Blue
I,,,2,,2,,Blue
I,,,,4,,1,Blue
I,1,,1,2,1,,Blue
I,1,,2,2,,,Blue
I,,1,3,1,,,Blue
I,2,1,,,,,Green
I,,,,3,,,Green
I,1,1,,1,1,,Green
I,,2,,2,,,Green
I,,,,,4,1,Green
I,1,1,,1,2,,Green
I,,1,,2,2,,Green
I,1,3,1,,,,Green
I,,2,1,,,,Red
I,3,,,,,,Red
I,1,1,1,,1,,Red
I,2,,,2,,,Red
I,4,,,,,1,Red
I,2,1,1,,1,,Red
I,2,,1,,2,,Red
I,1,,,1,3,,Red
I,,,2,1,,,Black
I,,,3,,,,Black
I,1,1,1,1,,,Black
I,2,,2,,,,Black
I,,4,,,,1,Black
I,1,2,1,1,,,Black
I,2,2,,1,,,Black
I,,,1,3,1,,Black
II,,,,5,,2,White
II,6,,,,,3,White
II,,,3,2,2,1,White
II,,,1,4,2,2,White
II,2,3,,3,,1,White
II,,,,5,3,2,White
II,,5,,,,2,Blue
II,,6,,,,3,Blue
II,,2,2,3,,1,Blue
II,2,,,1,4,2,Blue
II,5,3,,,,2,Blue
II,,,5,,,2,Green
II,,,6,,,3,Green
II,2,3,,,2,1,Green
II,3,,2,2,,1,Green
II,4,2,,,1,2,Green
II,,5,3,,,2,Green
II,,,,,5,2,Red
II,,,,6,,3,Red
II,2,,,2,3,1,Red
II,1,4,2,,,2,Red
II,,3,,2,3,1,Red
II,3,,,,5,2,Red
II,,,,,5,2,Black
II,,,,,6,3,Black
II,3,2,2,,,1,Black
II,,1,4,2,,2,Black
II,3,,3,,2,1,Black
II,,,5,3,,2,Black
III,,,,,7,4,White
III,3,,,,7,5,White
III,3,,,3,6,4,White
III,,3,3,5,3,3,White
III,7,,,,,4,Blue
III,7,3,,,,5,Blue
III,6,3,,,3,4,Blue
III,3,,3,3,5,3,Blue
III,,7,,,,4,Green
III,,7,3,,,5,Green
III,3,6,3,,,4,Green
III,5,3,,3,3,3,Green
III,,,7,,,4,Red
III,,,7,3,,5,Red
III,,3,6,3,,4,Red
III,3,5,3,,3,3,Red
III,,,,7,,4,Black
III,,,,7,3,5,Black
III,,,3,6,3,4,Black
III,3,3,5,3,,3,Black
